Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
3/20/2015,1,N,N,W,M,43,Warrant,not clear,1,B,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2015letterCruz.pdf,Denver,
4/14/2010,1,F,N,W,M,36,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/PS-10-04-14-Off.%20David%20Timmerman%20-%20Zak%20Edward%20Robert%20Reeves.pdf,Denver,
4/22/2012,1,F,Y,B,M,29,Call for Service,not clear,1,W,M,Denver Police Department,,Denver,
4/29/2013,1,N,N,W,M,58,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2013July5DreyfussInvestigation.pdf,Denver,
5/14/2013,1,F,Y,W,M,30,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/Decision%20letter%20re%20Officer-involved%20shooting%20of%205-14-3013.pdf,Denver,
5/14/2014,1,N,Y,W,M,32,Investigation,not clear,1,B,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2014SisnerosLetter.pdf,Denver,
5/25/2015,1,N,Y,B,M,28,Weapon / Concealed Weapon,not clear,2,W;W,M;M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/Decision%20Letter%20Nwandilibe%207-31-2015.pdf,Denver,
6/25/2016,1,N,N,B,M,33,Domestic Violence - In Progress,not clear,1,W,M,Denver Police Department,NO HITS,Denver,
6/28/2010,1,F,Y,W,M,36,Call for Service,not clear,2,W;W,M;M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/PS-10-06-28-Offs%20Dan%20Morehead%20&%20Mike%20Walsh.pdf,Denver,
7/18/2010,1,N,Y,W,M,26,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/PS-10-07-18-Officer%20Ethan%20Aldridge.pdf,Denver,
7/31/2012,1,F,N,W,M,32,Call for Service,not clear,2,W;W,M;M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/PS-07-31-12-Off%20Randall%20Krouse.pdf,Denver,
7/31/2016,1,N,Y,B,M,20,Suspicious Vehicle,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2016letterStadler.pdf,Denver,
8/13/2013,1,F,N,W,M,62,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2013%20BechtoldShootLetter.pdf,Denver,
8/16/2013,1,N,Y,W,M,32,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2013HeimbignerLet.pdf,Denver,
8/16/2016,1,N,Y,L,M,17,Vehicle Stop,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2016letterHeinis.pdf,Denver,
8/22/2015,1,N,Y,B,M,18,Vehicle Stop,not clear,2,B;W,M;M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/Decision%20Letter%20regarding%20Officer-involved%20shooting%20--%20August%2022%202015%20--%20DPD%20Det.%20Jon%20Crowe%20and%20Officer%20Jimmy%20Sheppard%20.pdf,Denver,
8/27/2016,1,F,N,L,M,49,Warrant,not clear,1,H,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2016letterGutierrezMcKain.pdf,Denver,
8/28/2012,1,N,Y,W,M,24,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/Decision%20Letter%20re%20Officer%20Involved%20Shooting%20of%208_28_12%20involving%20Officer%20Jay%20Otey.pdf,Denver,
8/31/2016,1,F,Y,W,M,20,Warrant,not clear,2,W;H,M;M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2016%20West%20Bates.pdf,Denver,
9/21/2013,1,F,Y,W,M,58,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2013%20Faris%20Shoot%20Letter.pdf,Denver,
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2010,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2011,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2012,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2013,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
4/1/2010,1,N,N,W,M,20,Other,NA,1,L,M,El Paso Police Department,,El Paso,Indicted; vehicle; OFF-DUTY
3/3/2011,1,N,N,U,M,38,Traffic stop,NA,1,L,M,El Paso Police Department,,El Paso,NO HITS; 40-hour suspension; vehicle
8/12/2012,1,N,N,W,M,32,Domestic Disturbance,NA,1,W,M,El Paso Police Department,,El Paso,knife
3/1/2013,1,F,Y,W,M,47,Other,NA,3,W;W;W,M;M;M,El Paso Police Department,,El Paso,
3/8/2013,1,F,N,W,M,37,Other,NA,1,W,M,El Paso Police Department,,El Paso,Fired; no weapon
1/9/2015,1,F,Y,W,M,33,Traffic stop,NA,1,W,F,El Paso Police Department,,El Paso,
12/11/2015,1,N,N,L,M,57,Traffic stop,NA,1,L,M,El Paso Police Department,,El Paso,vehicle; OFF-DUTY
1/31/2012,1,N,N,L,M,15,Suspicious activity / patrol,NA,1,U,M,El Paso Police Department,,El Paso,other weapon; OFF-DUTY
10/20/2014,1,F,Y,W,M,22,Weapons disturbance,NA,3,L;W;W,F;M;M,El Paso Police Department,,El Paso,
3/25/2011,1,F,N,W,M,29,Other,NA,1,W,M,El Paso Police Department,,El Paso,knife
4/15/2011,1,N,N,W,M,29,Other,NA,1,U,U,El Paso Police Department,,El Paso,vehicle
4/29/2015,1,F,N,W,M,22,Burglary / home invasion,NA,1,W,M,El Paso Police Department,,El Paso,other weapon
5/21/2015,1,F,Y,W,M,22,Mental crisis / suicide attempt,NA,2,L;W,M;M,El Paso Police Department,,El Paso,
6/15/2012,1,F,N,L,M,56,Mental crisis / suicide attempt,NA,1,W,M,El Paso Police Department,,El Paso,knife
6/25/2011,1,N,Y,W,M,41,Domestic Disturbance,NA,1,W,M,El Paso Police Department,,El Paso,
7/29/2013,1,F,N,W,M,38,Other,NA,1,W,M,El Paso Police Department,,El Paso,knife
9/16/2010,1,N,Y,W,M,20,Domestic Disturbance,NA,2,W;W,M;M,El Paso Police Department,,El Paso,
9/21/2015,1,N,N,W,M,21,Burglary / home invasion,NA,1,W,F,El Paso Police Department,,El Paso,vehicle
11/5/2016,1,N,N,L,M,32,Suicide,NA,3,W;L;U,M;U;U,El Paso Police Department,Scan to come,El Paso,On Duty; knife
5/9/2016,1,F,N,B,M,33,Domestic aggrevated assault,1,6,L;W;U;U;U;U,M;M;U;U;U;U,El Paso Police Department,Scan to come,El Paso,On Duty; BB gun
4/17/2016,1,F,N,W,M,22,Suicide,NA,5,W;W;A;U;U,M;M;M;U;U,El Paso Police Department,"Officer M. Betchel #2398 and E Pastran 3022, along with officers J. Smith #2848, D. Wesenberg #3086, and Sgt. LeGloahec were dispatched to 7149 Tierra Taos in a reference to a suicide threat. Officers arrived and learned that OF-01 was armed with a weapon and threatened to harm officers. OF-01 suffered injuries and was transported to UMC for treatment.",El Paso,On Duty; news coverage
2/4/2010,1,N,N,U,M,25,drug production,NA,1,U,M,Fairfax County Police Department,"On Thursday, February 4, 2010, the Department of Public Safety Communications received a 911 call that a man with a history of mental illness was using illegal narcotics, possessed a semi-automatic weapon, and made references regarding a “shootout.” Based on the man’s history and information provided by the complainant, the Special Weapons and Tactics Team (SWAT) was called out to take lead on the case. Additional entities to include the Crisis Negotiations Team and K9 were called to the scene to assist. Multiple unsuccessful attempts were made to establish contact with the man inside the residence. An Emergency Custody Order was issued by a magistrate, which obligated the Police Department to take physical custody of the individual and transport him to a facility where he could receive mental health treatment. A dialogue was established between the man and a uniformed SWAT officer positioned outside a basement window. The SWAT officer identified himself as an officer and attempted to persuade the man to surrender by exiting the front door. As the SWAT officer continued to negotiate with the man, other uniformed SWAT officers and a K9 officer positioned themselves inside the home but outside of the man’s bedroom. The subject suddenly charged from his location and fired a weapon multiple times at officers. A SWAT officer, who was positioned inside the home, immediately discharged his service weapon striking the subject. A SWAT medical officer and the Operations Medical Director immediately provided aid until relieved by Fire and Rescue personnel. The man was transported to Inova Fairfax Hospital where he was treated for his injuries. The man’s weapon, a BB gun that is powered by a CO? cartridge, was recovered at the scene.",FairfaxCounty,BB gun; mental illness
11/4/2010,1,N,N,U,M,50,suspicious vehicle,NA,1,U,M,Fairfax County Police Department,"On Thursday, November 4, 2010, at approximately 4:34 p.m., uniformed officers were dispatched to a suspicious vehicle complaint in the 2900 block of Westcott Street in Falls Church. A check of the provided vehicle registration revealed that the vehicle had been stolen the previous day. The officer confirmed the stolen status over the radio with the dispatcher. The officer parked his marked police vehicle about twenty yards away from the stolen vehicle and waited on additional officers to arrive. The suspect exited the stolen vehicle resulting in the officer displaying his service weapon and commanding the suspect to get on the ground. The suspect fled the scene causing the officer to give chase on foot. The officer was able to grab him and a struggle ensued. A second uniformed officer arrived on scene, and expeditiously exited his unmarked police vehicle to assist the first officer with the suspect. The second officer deployed his electronic control weapon, but it had no effect. The officers continued to struggle with the suspect trying to place him in handcuffs. The suspect punched the first officer in the face, allowing him to free himself from the officers’ grasp. The first officer then deployed oleoresin capsicum spray on the suspect to try to prevent his escape, but that had little effect. The suspect was able to enter the second officer’s unmarked police vehicle, which had been left running, and drive it away. A short time later, he returned to the scene, exited the stolen police vehicle and entered the original stolen vehicle. The second officer drew his service weapon and gave the verbal commands, “Police, don’t move,” but the suspect failed to comply and drove away. The second officer called a vehicle pursuit and additional uniformed officers, in marked police vehicles joined the pursuit. An uninvolved uniformed officer was marked out on a traffic stop at the 2800 block of Graham Road. Realizing the pursuit was likely to pass his location, the officer deployed Stop Sticks in an effort to end the pursuit and took a position of cover. The suspect slowed down and veered to the left to avoid the Stop Sticks. The officer removed himself from his position of cover and changed the location of the Stop Sticks to attempt to disable the suspect’s vehicle. The driver again changed his direction of travel, made a sharp turn toward the officer and accelerated toward him. The officer, now without cover, drew his service weapon, pointed it at the suspect and commanded, “Stop, police.” The driver continued in the officer’s direction and the officer discharged his service weapon at the approaching vehicle, striking the driver. The driver changed his direction of travel again and the pursuit continued. The suspect eventually side-swiped a police vehicle that tried to stop him and the pursuit concluded when another officer successfully utilized the Precision Immobilization Technique to disable the vehicle. The suspect was taken into custody after a brief struggle. The officers rendered aid until relieved by Fire and Rescue personnel. ",FairfaxCounty,
7/8/2012,1,N,N,U,U,U,NA,NA,1,U,U;M,Fairfax County Police Department,"On Sunday, July 8, 2012, at approximately 11:15 p.m., a uniformed officer in a marked police vehicle, noticed two men wearing rolled up ski masks on their heads near the intersection of Sky View Drive and Hanrahan Place in Alexandria. The men fled the area before the officer could make contact with them. The officer requested the assistance of a second uniformed officer. The first officer encountered the two men at Frye Road and Odessa Drive and conducted a subject stop. The officer noticed one of the men had a knife protruding from his waistband and asked him to hand it over. As the man handed the knife over to the officer, the second man ran from the scene. The second officer had just arrived on scene and both officers pursued the man on foot. During the brief foot pursuit, the first officer yelled, “Stop, police!” The man continued to run until he collided with a fence which resulted in him falling backwards and dropping a firearm. The officers grabbed the man in an attempt to detain him, but he resisted and picked up his gun. The man fired a shot during the struggle and shot himself in the leg. The two officers and the man fell to the ground after the shot was fired and continued to struggle. The man lifted the gun and began to point it at the second officer. The second officer drew his service weapon as the man fired a shot at the officer which just missed the officer’s head. The officer then discharged his service weapon, striking the man. Fire and Rescue personnel were immediately requested. Based on the extent of the man’s injuries, officers could not render aid. The man was pronounced deceased at the scene from his injuries. The man’s weapon, a .357 caliber, revolver, loaded with four remaining bullets, was recovered at the scene. ",FairfaxCounty,"Knife, Gun"
7/8/2012,1,F,Y,U,U,U,NA,NA,1,U,U;M,Fairfax County Police Department,"On Sunday, July 8, 2012, at approximately 11:15 p.m., a uniformed officer in a marked police vehicle, noticed two men wearing rolled up ski masks on their heads near the intersection of Sky View Drive and Hanrahan Place in Alexandria. The men fled the area before the officer could make contact with them. The officer requested the assistance of a second uniformed officer. The first officer encountered the two men at Frye Road and Odessa Drive and conducted a subject stop. The officer noticed one of the men had a knife protruding from his waistband and asked him to hand it over. As the man handed the knife over to the officer, the second man ran from the scene. The second officer had just arrived on scene and both officers pursued the man on foot. During the brief foot pursuit, the first officer yelled, “Stop, police!” The man continued to run until he collided with a fence which resulted in him falling backwards and dropping a firearm. The officers grabbed the man in an attempt to detain him, but he resisted and picked up his gun. The man fired a shot during the struggle and shot himself in the leg. The two officers and the man fell to the ground after the shot was fired and continued to struggle. The man lifted the gun and began to point it at the second officer. The second officer drew his service weapon as the man fired a shot at the officer which just missed the officer’s head. The officer then discharged his service weapon, striking the man. Fire and Rescue personnel were immediately requested. Based on the extent of the man’s injuries, officers could not render aid. The man was pronounced deceased at the scene from his injuries. The man’s weapon, a .357 caliber, revolver, loaded with four remaining bullets, was recovered at the scene. ",FairfaxCounty,"Knife, Gun"
4/9/2013,1,N,N,U,M,37,suicidal texts,NA,3,U,U;U;M,Fairfax County Police Department,"On Tuesday, April 9, 2013, at approximately 4:09 p.m., uniformed officers in marked police vehicles, responded to a call related to an emotionally disturbed person in the 6600 block of Thurlton Way in Alexandria. The complainant reported the man had sent suicidal text messages. The officers were able to make verbal contact with the man by yelling from the unsecured front door into the interior of the residence. The man threatened to shoot the officers, resulting in the officers backing away from the residence and establishing a perimeter outside the residence. The man came to the front door and reached his hand out, pointing a gun at one of the officers on the perimeter. Two officers responded by discharging their service weapons while a third officer discharged his police issued rifle. The man was struck, retreated back into the home and collapsed. Officers approached and rendered aid to the man until relieved by Fire and Rescue personnel. The man was treated at Inova Fairfax Hospital. The weapon, a semi-automatic plastic replica handgun, was recovered at the scene. The person was subsequently charged with Assault on a Law Enforcement Officer.",FairfaxCounty,Semi-automatic plastic replica handgun
11/2/2014,1,N,N,U,U,U,pursuit of a vehicle,NA,1,U,U,Fairfax County Police Department,"On Sunday, November 2, 2014, at approximately 4:31 a.m., uniformed officers responded to assist another jurisdiction that was involved in a traffic pursuit. The pursuit entered Fairfax County at Stonecroft Boulevard and Lee Jackson Memorial Highway in Chantilly. The first officer joined the pursuit in an unmarked police vehicle. As the pursuit continued through Fairfax County, additional officers, in marked police vehicles, joined at various locations. The driver drove his vehicle into a cul-de-sac on Indian Rock Road near Cabells Mill Road. The driver circled the culde-sac and attempted to exit where he had entered. The driver struck the first officer’s unmarked police vehicle and a citizen’s unoccupied parked vehicle. A second officer arrived and utilized his marked police vehicle to block the driver’s exit from the cul-de-sac. The driver reversed his vehicle and made another attempt to exit the cul-de-sac from a different direction. The first officer then discharged his service weapon at the vehicle’s tires. The second officer then successfully used his police vehicle to pin the driver’s vehicle against an unoccupied citizen’s parked vehicle to prevent escape. The driver was then arrested. There were no injuries as a result of the service weapon discharge.",FairfaxCounty,
9/8/2014,1,N,Y,U,M,U,"armed, suicidal person",NA,2,U,M;M,Fairfax County Police Department,"On, Monday, September 8, 2014, at approximately 1:18 p.m., uniformed officers in marked police vehicles, responded to a call regarding an emotionally disturbed person in the 7000 block of Old Keene Mill Road in Springfield. The complainant reported the man was depressed and possibly armed with a firearm. Responding officers observed a man sitting in a courtyard. From a distance, the officers tried to negotiate with the man to drop his firearm and exit the courtyard. The man confirmed verbally to the officers that he was armed with a firearm. While the negotiations were occurring, additional officers established a perimeter around the area and evacuated nearby citizens for their safety. At approximately 2:43 p.m., while the officers continued to negotiate his safe surrender, the man stood up and pointed the gun in the direction of the officers. One officer discharged his police issued rifle, striking the person causing him to drop the gun and fall to the ground. While a K9 officer and two patrol officers were approaching the man to render aid, the man began to reach for his firearm. The K9 officer issued verbal commands for the person to stop which he failed to comply with. The K9 officer discharged his service weapon, striking the person a second time. The officers secured the person and his firearm then rendered aid to until relieved by Fire and Rescue personnel. The person was treated at Inova Fairfax Hospital. The weapon, a .38 caliber revolver loaded with six bullets, was recovered at the scene",FairfaxCounty,.38 caliber revolver; victim in his 60s
