Date,NumberOfSubjects,Fatal,SubjectArmed,Notes,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,city,year,month,day,fdate,b,l,w,a,tr,AvgAge,VA,F,nshots,sit,other,replica,knife,weapon
11/2/2014,1,N,N,,U,U,U,pursuit of a vehicle,NA,1,U,U,FairfaxCounty PD,"On Sunday, November 2, 2014, at approximately 4:31 a.m., uniformed officers responded to assist another jurisdiction that was involved in a traffic pursuit. The pursuit entered Fairfax County at Stonecroft Boulevard and Lee Jackson Memorial Highway in Chantilly. The first officer joined the pursuit in an unmarked police vehicle. As the pursuit continued through Fairfax County, additional officers, in marked police vehicles, joined at various locations. The driver drove his vehicle into a cul-de-sac on Indian Rock Road near Cabells Mill Road. The driver circled the culde-sac and attempted to exit where he had entered. The driver struck the first officer??s unmarked police vehicle and a citizen??s unoccupied parked vehicle. A second officer arrived and utilized his marked police vehicle to block the driver??s exit from the cul-de-sac. The driver reversed his vehicle and made another attempt to exit the cul-de-sac from a different direction. The first officer then discharged his service weapon at the vehicle??s tires. The second officer then successfully used his police vehicle to pin the driver??s vehicle against an unoccupied citizen??s parked vehicle to prevent escape. The driver was then arrested. There were no injuries as a result of the service weapon discharge.",FairfaxCounty,2014,11,2,11/2/2014,0,0,0,0,0,NA,FALSE,FALSE,NA,suspicious,FALSE,FALSE,FALSE,unarmed
5/21/2016,2,N;N,Y;N,,B;U,M;M,24;26,armed robbery,NA,1,U,U,FairfaxCounty PD,"Both suspects charged in the May 21 jewelry store robbery at Brookfield Plaza have now been extradited back to Fairfax County to stand trial. William Timothy Franklin was transported from Charles County, Maryland and Jasminder Sethi was transported from Newark, New Jersey. As of yesterday, both men are being held in the Fairfax County Adult Detention Center on no bond. The case remains active and the investigation is ongoing.",FairfaxCounty,2016,5,21,5/21/2016,1,0,0,0,1,25,TRUE,FALSE,NA,weapon,FALSE,TRUE,FALSE,gun
1/17/2010,1,N,N,"No Hit, Vehicle",W,M,21,Fight / disorderly conduct,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2010,1,17,1/17/2010,0,0,1,0,1,21,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
5/17/2010,1,F,N,,W,M,22,Mental crisis / suicide attempt,NA,2,"W, U","M, U",Fort Worth PD,NA,Fort Worth,2010,5,17,5/17/2010,0,0,1,0,1,22,FALSE,TRUE,NA,suicide,FALSE,FALSE,FALSE,unarmed
5/27/2010,1,N,N,Vehicle,W,M,55,Drug suspicion / drug warrant,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2010,5,27,5/27/2010,0,0,1,0,1,55,FALSE,FALSE,NA,drugs,TRUE,FALSE,FALSE,other
5/31/2010,1,F,N,,B,M,37,Burglary / home invasion,NA,1,B,M,Fort Worth PD,NA,Fort Worth,2010,5,31,5/31/2010,1,0,0,0,1,37,FALSE,TRUE,NA,robbery,FALSE,FALSE,FALSE,unarmed
9/28/2010,1,N,Y,No Hit,B,M,39,Robbery,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2010,9,28,9/28/2010,1,0,0,0,1,39,TRUE,FALSE,NA,robbery,FALSE,FALSE,FALSE,gun
10/1/2010,1,N,Y,,B,M,17,Robbery,NA,1,U,U,Fort Worth PD,NA,Fort Worth,2010,10,1,10/1/2010,1,0,0,0,1,17,TRUE,FALSE,NA,robbery,FALSE,FALSE,FALSE,gun
10/10/2010,1,N,U,No Hit,W,M,22,Unknown,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2010,10,10,10/10/2010,0,0,1,0,1,22,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,U
10/20/2010,1,N,N,"Weapon listed as ""other""",B,M,35,Suspicious activity / patrol,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2010,10,20,10/20/2010,1,0,0,0,1,35,FALSE,FALSE,NA,suspicious,FALSE,FALSE,FALSE,unarmed
2/28/2011,1,F,N,Vehicle,B,M,32,Traffic stop,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2011,2,28,2/28/2011,1,0,0,0,1,32,FALSE,TRUE,NA,traffic,TRUE,FALSE,FALSE,other
4/19/2011,1,N,Y,No Hit,L,M,28,Shots fired / shooting,NA,1,H,M,Fort Worth PD,NA,Fort Worth,2011,4,19,4/19/2011,0,1,0,0,1,28,TRUE,FALSE,NA,shooting,FALSE,FALSE,FALSE,gun
5/23/2011,1,N,N,Vehicle,L,M,17,Burglary / home invasion,NA,1,B,M,Fort Worth PD,NA,Fort Worth,2011,5,23,5/23/2011,0,1,0,0,1,17,FALSE,FALSE,NA,robbery,TRUE,FALSE,FALSE,other
5/23/2011,1,F,N,"Weapon listed as ""other""",W,F,46,Mental crisis / suicide attempt,NA,1,U,U,Fort Worth PD,NA,Fort Worth,2011,5,23,5/23/2011,0,0,1,0,1,46,FALSE,TRUE,NA,suicide,FALSE,FALSE,FALSE,unarmed
7/12/2011,1,F,Y,,W,M,70,Other,NA,3,"W, B, W","M, M, M",Fort Worth PD,NA,Fort Worth,2011,7,12,7/12/2011,0,0,1,0,1,70,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
8/23/2011,1,F,Y,,W,M,47,Robbery,NA,1,U,U,Fort Worth PD,NA,Fort Worth,2011,8,23,8/23/2011,0,0,1,0,1,47,TRUE,TRUE,NA,robbery,FALSE,FALSE,FALSE,gun
12/14/2011,1,N,N,"Weapon listed as ""other""",B,M,20,Robbery,NA,3,"H, B, W","M, M, M",Fort Worth PD,NA,Fort Worth,2011,12,14,12/14/2011,1,0,0,0,1,20,FALSE,FALSE,NA,robbery,FALSE,FALSE,FALSE,unarmed
12/25/2011,1,F,Y,,B,M,29,Mental crisis / suicide attempt,NA,2,"W, B","F, M",Fort Worth PD,NA,Fort Worth,2011,12,25,12/25/2011,1,0,0,0,1,29,TRUE,TRUE,NA,suicide,FALSE,FALSE,FALSE,gun
6/26/2012,1,F,Y,,U,M,34,Shots fired / shooting,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2012,6,26,6/26/2012,0,0,0,0,0,34,TRUE,TRUE,NA,shooting,FALSE,FALSE,FALSE,gun
10/28/2012,1,N,Y,,W,M,53,Domestic Disturbance,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2012,10,28,10/28/2012,0,0,1,0,1,53,TRUE,FALSE,NA,dv,FALSE,FALSE,FALSE,gun
1/29/2013,1,F,Y,,W,M,U,Drug suspicion / drug warrant,NA,1,U,U,Fort Worth PD,NA,Fort Worth,2013,1,29,1/29/2013,0,0,1,0,1,NA,TRUE,TRUE,NA,drugs,FALSE,FALSE,FALSE,gun
1/31/2013,1,N,Y,,B,M,22,Mental crisis / suicide attempt,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2013,1,31,1/31/2013,1,0,0,0,1,22,TRUE,FALSE,NA,suicide,FALSE,FALSE,FALSE,gun
2/9/2013,1,F,N,"Weapon listed as ""other""",W,M,21,Shots fired / shooting,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2013,2,9,2/9/2013,0,0,1,0,1,21,FALSE,TRUE,NA,shooting,FALSE,FALSE,FALSE,unarmed
4/24/2013,1,F,Y,,B,M,29,Robbery,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2013,4,24,4/24/2013,1,0,0,0,1,29,TRUE,TRUE,NA,robbery,FALSE,FALSE,FALSE,gun
5/28/2013,1,F,Y,,W,M,72,Burglary / home invasion,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2013,5,28,5/28/2013,0,0,1,0,1,72,TRUE,TRUE,NA,robbery,FALSE,FALSE,FALSE,gun
11/23/2013,1,F,N,Vehicle,W,M,24,Other,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2013,11,23,11/23/2013,0,0,1,0,1,24,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
3/6/2014,1,N,N,"Weapon listed as ""other""",B,M,18,Burglary / home invasion,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2014,3,6,3/6/2014,1,0,0,0,1,18,FALSE,FALSE,NA,robbery,FALSE,FALSE,FALSE,unarmed
6/13/2014,1,F,Y,,L,M,17,Burglary / home invasion,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2014,6,13,6/13/2014,0,1,0,0,1,17,TRUE,TRUE,NA,robbery,FALSE,FALSE,FALSE,gun
7/29/2014,1,N,Y,,W,M,18,Other,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2014,7,29,7/29/2014,0,0,1,0,1,18,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
10/18/2014,1,N,Y,,B,M,46,Weapons disturbance,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2014,10,18,10/18/2014,1,0,0,0,1,46,TRUE,FALSE,NA,weapon,FALSE,FALSE,FALSE,gun
12/2/2014,1,F,N,"Weapon listed as ""other""",W,M,35,Robbery,NA,1,H,M,Fort Worth PD,NA,Fort Worth,2014,12,2,12/2/2014,0,0,1,0,1,35,FALSE,TRUE,NA,robbery,FALSE,FALSE,FALSE,unarmed
1/17/2015,1,F,N,Knife,W,M,27,Traffic stop,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2015,1,17,1/17/2015,0,0,1,0,1,27,FALSE,TRUE,NA,traffic,FALSE,FALSE,TRUE,knife
1/29/2015,1,F,Y,,W,M,40,Other,NA,2,"W, W","M,M ",Fort Worth PD,NA,Fort Worth,2015,1,29,1/29/2015,0,0,1,0,1,40,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
2/18/2015,1,N,Y,,L,M,23,Fight / disorderly conduct,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2015,2,18,2/18/2015,0,1,0,0,1,23,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
3/8/2015,1,N,N,Vehicle,W,M,29,Burglary / home invasion,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2015,3,8,3/8/2015,0,0,1,0,1,29,FALSE,FALSE,NA,robbery,TRUE,FALSE,FALSE,other
4/22/2015,1,F,Y,,B,M,31,Shots fired / shooting,NA,2,"W, H","M, M",Fort Worth PD,NA,Fort Worth,2015,4,22,4/22/2015,1,0,0,0,1,31,TRUE,TRUE,NA,shooting,FALSE,FALSE,FALSE,gun
6/23/2015,1,N,N,"Weapon listed as ""other""",B,M,54,Weapons disturbance,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2015,6,23,6/23/2015,1,0,0,0,1,54,FALSE,FALSE,NA,weapon,FALSE,FALSE,FALSE,unarmed
7/31/2015,1,F,Y,,U,M,30,Fight / disorderly conduct,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2015,7,31,7/31/2015,0,0,0,0,0,30,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
12/19/2015,1,N,Y,,W,M,34,Shots fired / shooting,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2015,12,19,12/19/2015,0,0,1,0,1,34,TRUE,FALSE,NA,shooting,FALSE,FALSE,FALSE,gun
2/12/2016,1,F,Y,"""Deadly Weapon"" ",W,M,53,"Execuition of a warrant ""suspect pulled out a firearm"" https://www.nbcdfw.com/news/local/Shooting-Involving-US-Marshals-in-Fort-Worth-Police-368676191.html",NA,3,"W,W, H","M,M,M",Fort Worth PD,NA,Fort Worth,2016,2,12,2/12/2016,0,0,1,0,1,53,TRUE,TRUE,NA,shooting,FALSE,FALSE,FALSE,gun
3/15/2016,1,F,Y,"""Deadly Weapon"" Officer wounded http://www.star-telegram.com/news/local/community/fort-worth/article66192852.html",W,M,42,"Emergencey call, traffic stop, execuition of warrant",NA,2,"W,W","M,M",Fort Worth PD,NA,Fort Worth,2016,3,15,3/15/2016,0,0,1,0,1,42,TRUE,TRUE,NA,traffic,FALSE,FALSE,FALSE,gun
4/17/2016,1,N,Y,"""Deadly Weapon"" ",L,M,46,"Hostage, barrcade of other emergencey situation. ""appeared to be a rifle"" http://www.star-telegram.com/news/local/community/fort-worth/article72475392.html",NA,1,W,M,Fort Worth PD,NA,Fort Worth,2016,4,17,4/17/2016,0,1,0,0,1,46,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
5/20/2016,1,N,N,,W,M,35,"Vehicle pursuit, foot pursuit, resisting arrest",NA,1,W,M,Fort Worth PD,NA,Fort Worth,2016,5,20,5/20/2016,0,0,1,0,1,35,FALSE,FALSE,NA,suspicious,FALSE,FALSE,FALSE,unarmed
10/5/2016,1,N,Y,"""Deadly Weapon"" shots fired at officers, handgun http://www.star-telegram.com/news/local/community/fort-worth/article106315112.html",B,M,29,Execution of a warrant,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2016,10,5,10/5/2016,1,0,0,0,1,29,TRUE,FALSE,NA,suspect,FALSE,FALSE,FALSE,gun
10/26/2016,1,U,U,"""Deadly Weapon"" Suspect drove over officer's foot http://www.star-telegram.com/news/local/community/fort-worth/article110751507.html",L,M,24,Execution of a warrant,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2016,10,26,10/26/2016,0,1,0,0,1,24,FALSE,FALSE,NA,suspect,FALSE,FALSE,FALSE,U
11/9/2016,1,N,Y,"""Deadly Weapon"" suicide by cop http://www.star-telegram.com/news/local/community/fort-worth/article113689179.html",W,M,62,Emergencey call or request for assitance,NA,3,"H,H,A","M,M,M",Fort Worth PD,NA,Fort Worth,2016,11,9,11/9/2016,0,0,1,0,1,62,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
12/30/2016,1,N,Y,"""Deadly Weapon"" rifle  http://www.star-telegram.com/news/local/community/fort-worth/article123951229.html",W,M,25,Emergencey call or request for assitance,NA,1,W,M,Fort Worth PD,NA,Fort Worth,2016,12,30,12/30/2016,0,0,1,0,1,25,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
7/28/2016,1,N,U,"""Deadly Weapon""",B,M,33,Search for suspect in an aggravated robbery,NA,1,H,M,Fort Worth PD,NA,Fort Worth,2016,7,28,7/28/2016,1,0,0,0,1,33,FALSE,FALSE,NA,suspect,FALSE,FALSE,FALSE,U
3/23/2016,1,N,Y,,U,U,U,burglary suspect,NA,1,U,U,Honolulu Police Department,"Officers located burglary suspect and foot chase ensued.  Suspect pointed gun at officer, and officer fired, injuring suspect.  Suspect??s gun subsequently determined to be stolen.  Arrested for attempted murder and firearms offense.  No officers injured.",Honolulu,2016,3,23,3/23/2016,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,suspect,FALSE,FALSE,FALSE,gun
6/28/2016,1,F,N,Armed with knife.; two or more officers,U,M,U,NA,NA,2,U,U,Honolulu Police Department,Officers confronted by male armed with large knife.  Attempt to use non-lethal firearm was unsuccessful.  Male charged and officers fired several shots.  Male was taken to hospital where he died.  No officers injured.,Honolulu,2016,6,28,6/28/2016,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
12/1/2016,3,N,N;N;N,Armed with vehicle.,U,U,U,stolen vehicle,NA,1,U,U,Honolulu Police Department,"Officers responded to report of stolen vehicle.  Officers approached driver who accelerated toward officer, who fired at vehicle.  Driver and passenger hospitalized for non-life threatening injuries; second passenger was uninjured.  No officers injured.",Honolulu,2016,12,1,12/1/2016,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,stolenvehicle,TRUE,FALSE,FALSE,other
3/10/2015,1,N,N,Armed with vehicle.,U,U,U,stolen vehicle,NA,2,U,U,Honolulu Police Department,"Officer was talking to driver of stolen vehicle when driver accelerated, dragging and injuring officer.  Second officer fired multiple rounds as he was clipped by the stolen vehicle.  The driver struck two other vehicles before running into residential area and hiding.  Suspect located and treated for gunshot wound.  Officers taken for treatment and released.  No others injured.",Honolulu,2015,3,10,3/10/2015,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,stolenvehicle,TRUE,FALSE,FALSE,other
4/3/2015,1,N,N,"Armed with ""supplemental weapon.""",U,U,U,accidental fire,NA,1,U,U,Honolulu Police Department,"Off-duty officer accidentally shot employee with supplemental weapon, critically injuring victim.  Officer arrested for second-degree assault.  Case was declined by prosecutor.",Honolulu,2015,4,3,4/3/2015,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,mental,FALSE,FALSE,FALSE,unarmed
9/29/2015,1,F,Y,,U,U,U,NA,1,1,U,U,Honolulu Police Department,"Officers locate armed suspect sitting in vehicle.  Suspect and officer each fire single shot, and suspect is killed.  Officer is uninjured.",Honolulu,2015,9,29,9/29/2015,NA,NA,NA,NA,NA,NA,TRUE,TRUE,1,misc,FALSE,FALSE,FALSE,gun
1/28/2014,1,N,N,Armed with knife.; 1 hit; 3 or more; victim is a minor,U,U,U,runaway,2,3,U,U,Honolulu Police Department,"Officers responding to a runaway cancellation encountered juvenile armed with a knife.  A struggle ensued and an officer fired twice at juvenile, striking him once.  Juvenile taken to hospital for non-life threatening injuries and arrested for four counts of first-degree attempted murder.  Three officers treated for minor injuries.",Honolulu,2014,1,28,1/28/2014,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2,misc,FALSE,FALSE,TRUE,knife
7/24/2014,1,N,N,Armed with vehicle.No hits. ,U,M,U,stolen vehicle,1,1,U,U,Honolulu Police Department,"Officer observed male breaking into cars and flee in stolen vehicle.  Male drove at officer, and officer fired once, striking side of vehicle.  Suspect and vehicle not located.  Officer treated for non-life threatening injuries.  Incident classified as first-degree attempted murder.",Honolulu,2014,7,24,7/24/2014,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1,stolenvehicle,TRUE,FALSE,FALSE,other
7/30/2014,1,N,N,"Armed with vehicle. Seemingly no hits: fired at vehicle, car crash and death.",U,U,U,NA,NA,1,U,U,Honolulu Police Department,Officer got out of vehicle and approached impaired driver who drove at officer.  Officer fired several rounds at vehicle.  Driver crashed two blocks away and was unresponsive and later died.  Incident classified as first-degree attempted murder.,Honolulu,2014,7,30,7/30/2014,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,TRUE,FALSE,FALSE,other
8/16/2014,1,F,N,Armed with vehicle.,U,U,U,stolen vehicle,NA,2,U,U,Honolulu Police Department,"Officers approached stolen vehicle.  Driver drove at officers, struck a police vehicle and nearly struck officers.  Two officers fired multiple rounds, fatally striking the suspect.  Passenger was uninjured and arrested for car break-in.  Incident classified as first-degree attempted murder.",Honolulu,2014,8,16,8/16/2014,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,stolenvehicle,TRUE,FALSE,FALSE,other
1/15/2013,1,F,N,Armed with vehicle.,U,U,U,dangerous driver,NA,2,U,U,Honolulu Police Department,"Officers confronted dangerous driver who refused to stop and drove several blocks, striking several vehicles and narrowly missing officers.  Suspect vehicle continued to ram police vehicles after being blocked in.  Officers fired multiple rounds and fatally shot suspect.",Honolulu,2013,1,15,1/15/2013,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
3/8/2013,2,N;N,N,"Armed with ""spike-like instrument.""; ""first-degree terroristic threatening""",U,M;F,U,domestic argument,NA,1,U,U,Honolulu Police Department,"Officer responded to domestic argument and was charged by a male wielding a spike-like instrument.  Officer fired several times, striking the male, who dropped the instrument.  A female suspect picked up the instrument and threatened the officer.  Incident classified as first-degree attempted assault and first-degree terroristic threatening.",Honolulu,2013,3,8,3/8/2013,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,dv,FALSE,FALSE,FALSE,unarmed
10/29/2013,1,N,N,Armed with vehicle.,U,U,U,vehicle theft,NA,1,U,U,Honolulu Police Department,"Officers located suspect wanted for vehicle theft, assault, and home break-in.  Suspect tried to flee in stolen vehicle and drove toward officers.  Officer fired several times, striking the suspect.  Suspect taken to hospital in serious condition.",Honolulu,2013,10,29,10/29/2013,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,traffic,TRUE,FALSE,FALSE,other
12/14/2013,1,F,N,"Armed with ""sharp-edged pole.""",U,U,U,NA,NA,1,U,U,Honolulu Police Department,Officer confronted distraught male with sharp-edged pole.  Suspect refused to drop pole and charged at officer.  Less-lethal deployed but was not effective.  Suspect continued toward officer and was fatally shot multiple times.  No officers injured.,Honolulu,2013,12,14,12/14/2013,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,misc,TRUE,FALSE,FALSE,other
1/26/2011,1,N,Y,,U,U,U,car theft,NA,1,U,U,Honolulu Police Department,"Suspect tried to flee from officers conducting an undercover car theft operation.  During struggle, suspect turned and fired at one of the officers, who fired multiple rounds but did not strike suspect.  No injuries.  Gun determined to be unregistered.",Honolulu,2011,1,26,1/26/2011,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,traffic,FALSE,FALSE,FALSE,gun
2/22/2011,1,F,N,Armed with flare gun; one hit,U,U,U,armed break-in,NA,1,U,U,Honolulu Police Department,"Officers chased an armed car break-in suspect through parking lot to office.  Suspect pointed weapon at officer and officer fired back, striking suspect once.  Suspect ran but was located nearby and taken to hospital in critical condition.  Suspect expired at hospital.  Weapon determined to be a flare gun.",Honolulu,2011,2,22,2/22/2011,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,weapon,FALSE,FALSE,FALSE,unarmed
4/14/2011,1,F,Y,2 or more POs,U,U,U,stolen vehicle,NA,2,U,U,Honolulu Police Department,"Officers observed an armed male exit a stolen vehicle and attempt to steal another vehicle.  Officers chased suspect on foot, and suspect fired at officers before trying to steal another vehicle.  Suspect fired at arriving officers and police vehicles, and officers fired back, fatally shooting suspect.",Honolulu,2011,4,14,4/14/2011,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,stolenvehicle,FALSE,FALSE,FALSE,gun
4/26/2011,1,F,Y,1 hit (lethal),U,U,U,armed theft,NA,1,U,U,Honolulu Police Department,"Special-duty officer chased an armed theft suspect.  Suspect pointed gun at officer and officer fired, striking suspect once.  Suspect taken to hospital and later expired.  Officer was uninjured.",Honolulu,2011,4,26,4/26/2011,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,weapon,FALSE,FALSE,FALSE,gun
8/6/2010,1,F,N,Armed with machete.; 2 or more officers,U,M,U,weilding machete,NA,2,U,U,Honolulu Police Department,"Officers responded to call of male wielding machete in bank parking lot.  Male was agitated and refused orders to put down weapon.  Male charged at one of the officers, and two officers fired and struck suspect.  Suspect taken to hospital and later expired.",Honolulu,2010,8,6,8/6/2010,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,misc,FALSE,FALSE,TRUE,knife
8/22/2010,1,N,Y,,U,M,U,argument,NA,1,U,U,Honolulu Police Department,"Officers sent to argument and heard shots fired as they arrived.  Armed male had fired at another male then turned gun toward officer.  Officer fired several times, striking suspect once.  Suspect transported in critical condition and later released from hospital.",Honolulu,2010,8,22,8/22/2010,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,misc,FALSE,FALSE,FALSE,gun
9/5/2010,1,N,N,Armed with knife.; 2 or more officers,U,M,U,person being threatened,NA,2,U,U,Honolulu Police Department,"Officers responded to report of person being threatened.  Male lunged at officer with knife and refused to give up.  Officers used non-lethal rounds, electric gun, and live rounds.  Suspect eventually talked into surrendering and arrested for second-degree attempted murder and first-degree terroristic threatening.  Male taken to hospital in good condition and female witness sustained minor injuries.  No officers injured.",Honolulu,2010,9,5,9/5/2010,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,misc,FALSE,FALSE,TRUE,knife
1/15/2010,1,F,Y,,B,M,69,NA,NA,1,W,M,Houston Police Department,Narcotics officers forced entry into a residence during the execution of a serach warrant. Upon entry; the suspect was found armed with a shotgun. The suspect pointed the weapon at the officer and an exchange of gunfire occurred.,Houston,2010,1,15,1/15/2010,1,0,0,0,1,69,TRUE,TRUE,NA,misc,FALSE,FALSE,FALSE,gun
1/18/2010,1,N,Y,No hits; officer off-duty,L,M,23,NA,NA,2,L;L,M;M,Houston Police Department,The officers were attempting to disperse a crowd when the suspect retrieved a weapon from his vehicle and confronted another person by pointing the weapon at him. The suspect refused verbal commands to drop the weapon forcing the officers to shoot him before he caused injury to the other individual.,Houston,2010,1,18,1/18/2010,0,1,0,0,1,23,TRUE,FALSE,NA,off-duty,FALSE,FALSE,FALSE,gun
2/4/2010,1,N,Y,,B,M,29,NA,NA,1,L,M,Houston Police Department,Officers were passing location when they saw a robbery in progress.  The officers were about to get out of the vehicle when the person being robbed attempted to run. The suspect shot the individual and then attempted to leave the loaction but was confronted by the officer. The suspect pointed his weapon at the officer causing the officer to shoot at him.,,,,,,,,,,,,,,,,,,,
",Houston,2010,2,4,2/4/10,1,0,0,0,1,29,TRUE,FALSE,NA,misc,FALSE,TRUE,FALSE,gun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2010,2,N,Y;N,No hits; officer off-duty,B;U,M;U,19;U,NA,NA,1,A,M,Houston Police Department,Officer saw the suspects committing a burglary. He was attempting to arrest them when one of the suspects shot the officer.,Houston,2010,2,8,2/8/2010,1,0,0,0,1,19,TRUE,FALSE,NA,off-duty,FALSE,FALSE,FALSE,gun
2/24/2010,1,N,N,,B,M,41,NA,NA,1,B,M,Houston Police Department,The suspect was pulled over on traffic after driving erratically. The suspect was being beligerent and refused to get out of the vehicle. As the officer attempted to force the suspect from the vehicle; the suspect reached toward his waistband area. The officer belived the suspect was reaching for a weapon so he fired at the suspect.,Houston,2010,2,24,2/24/2010,1,0,0,0,1,41,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
3/7/2010,1,N,Y,,L,M,28,NA,NA,3,W;W;L,M;M;M,Houston Police Department,The suspect was involved in a series of robberies.  The officer located the suspect vehicle and a vehicle pursuit began.  The suspect was shooting at the officers as he was being pursued and when he finally stopped he took a position of cover behind his vehicle.  The suspect was still armed and confronted the officers causing them to shoot at the suspect.,,,,,,,,,,,,,,,,,,,
",Houston,2010,3,7,3/7/10,0,1,0,0,1,28,TRUE,FALSE,NA,misc,FALSE,TRUE,FALSE,gun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2010,1,F,Y,,B,M,21,NA,NA,1,W,M,Houston Police Department,The officers on viewed a robbery in progress.  As the suspect was fleeing from the robbery scene he pointed a weapon at the officer. The officer fired his weapon fearing that the suspect was going to shoot him. ,,,,,,,,,,,,,,,,,,,
",Houston,2010,3,19,3/19/10,1,0,0,0,1,21,TRUE,TRUE,NA,misc,FALSE,TRUE,FALSE,gun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2010,1,F,Y,,L,M,28,NA,NA,2,W;W,M;M,Houston Police Department,Officers were set up on a location where a robbery was to occur. THe suspects arrived at the scene and when confronted the armed suspect pointed his weapon at the officers and moved toward them causing the officers to shoot him.,,,,,,,,,,,,,,,,,,,
",Houston,2010,3,27,3/27/10,0,1,0,0,1,28,TRUE,TRUE,NA,misc,FALSE,TRUE,FALSE,gun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2010,1,N,N,"Armed with ""Physical Force."" Location ""Protected by Law.""",L,M,35,NA,NA,1,L,M,Houston Police Department,The officer was attempting to arrest the suspect when the suspect pulled away from the officer. The officer pulled out his weapon as the suspect was moving toward him. The officer and the suspect were involved in a struggle when the officers weapon accidentally discharged.,Houston,2010,4,2,4/2/2010,0,1,0,0,1,35,FALSE,FALSE,NA,misc,FALSE,FALSE,FALSE,unarmed
4/15/2010,1,N,N,Armed with knife,B,M,30,NA,NA,1,L,M,Houston Police Department,The suspect was armed with a knife. He refused to drop the knife when told to do so; instead the suspect appeared to be ready to attack the officer.  The officer discharged his weapon at this point.,,,,,,,,,,,,,,,,,,,
",Houston,2010,4,15,4/15/10,1,0,0,0,1,30,FALSE,FALSE,NA,misc,FALSE,FALSE,TRUE,knife",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
